Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2000","2000","ha","535000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2000","2000","t","1690000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2001","2001","ha","572000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2001","2001","t","2060200","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2002","2002","ha","582857","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2002","2002","t","2186000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2003","2003","ha","584000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2003","2003","t","2244000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2004","2004","ha","583000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2004","2004","t","2370000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2005","2005","ha","583400","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2005","2005","t","2583400","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2006","2006","ha","583400","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2006","2006","t","2478500","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2007","2007","ha","583400","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2007","2007","t","1869500","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2008","2008","ha","570390","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2008","2008","t","2862000","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2009","2009","ha","569000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2009","2009","t","2336000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2010","2010","ha","570000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2010","2010","t","2426000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2011","2011","ha","571000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2011","2011","t","2479000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2012","2012","ha","563000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2012","2012","t","2861000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2013","2013","ha","547000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2013","2013","t","2901000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2014","2014","ha","525000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2014","2014","t","2626000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2015","2015","ha","465200","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2015","2015","t","1946000","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2016","2016","ha","468677","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2016","2016","t","2536419.3","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5312","Area harvested","27","Rice","2017","2017","ha","475158","A","Official figure",""
"QCL","Crops and livestock products","116","Democratic People's Republic of Korea","5510","Production","27","Rice","2017","2017","t","2383276.6","A","Official figure",""
