"Continent","Continent ID","Country","Country ID","ISO 3","Trade Value","Year"
"Africa","af","Cote d'Ivoire","afciv","civ",181000,2000
"Asia","as","China","aschn","chn",64630670,2000
"Asia","as","Hong Kong","ashkg","hkg",279834,2000
"Asia","as","Japan","asjpn","jpn",18903968,2000
"Asia","as","Singapore","assgp","sgp",19972216,2000
"Asia","as","Thailand","astha","tha",8237344.000000001,2000
"Europe","eu","Austria","euaut","aut",3880,2000
"Europe","eu","Germany","eudeu","deu",4000,2000
"Europe","eu","United Kingdom","eugbr","gbr",83277.99999999999,2000
"Europe","eu","Russia","eurus","rus",3243722,2000
"North America","na","Mexico","namex","mex",222456,2000
"North America","na","Trinidad and Tobago","natto","tto",30764,2000
"South America","sa","Peru","saper","per",51924,2000
"Africa","af","Cote d'Ivoire","afciv","civ",104870,2001
"Asia","as","China","aschn","chn",57704950,2001
"Asia","as","Hong Kong","ashkg","hkg",571760,2001
"Asia","as","Japan","asjpn","jpn",972718.0000000001,2001
"Asia","as","Singapore","assgp","sgp",83397424,2001
"Asia","as","Thailand","astha","tha",35996,2001
"Asia","as","Turkey","astur","tur",15790,2001
"Europe","eu","Austria","euaut","aut",5434,2001
"Europe","eu","Bulgaria","eubgr","bgr",47022,2001
"Europe","eu","Switzerland","euche","che",21976,2001
"Europe","eu","Germany","eudeu","deu",50000,2001
"Europe","eu","France","eufra","fra",8954,2001
"Europe","eu","United Kingdom","eugbr","gbr",54466,2001
"Europe","eu","Greece","eugrc","grc",1781.9999999999998,2001
"Europe","eu","Croatia","euhrv","hrv",9182,2001
"Europe","eu","Italy","euita","ita",8953,2001
"Europe","eu","Russia","eurus","rus",29363126,2001
"Europe","eu","Slovakia","eusvk","svk",594,2001
"South America","sa","Peru","saper","per",9004174,2001
"Asia","as","China","aschn","chn",20239601.000000004,2002
"Asia","as","Hong Kong","ashkg","hkg",391284,2002
"Asia","as","India","asind","ind",57680270,2002
"Asia","as","Japan","asjpn","jpn",520141.99999999994,2002
"Asia","as","Singapore","assgp","sgp",39653377,2002
"Asia","as","Thailand","astha","tha",8631421,2002
"Asia","as","Turkey","astur","tur",18070,2002
"Asia","as","Vietnam","asvnm","vnm",14520,2002
"Asia","as","Chinese Taipei","asxxb",,13158,2002
"Europe","eu","Austria","euaut","aut",352.00000000000006,2002
"Europe","eu","Bulgaria","eubgr","bgr",45166.00000000001,2002
"Europe","eu","Germany","eudeu","deu",68000,2002
"Europe","eu","United Kingdom","eugbr","gbr",2245,2002
"Europe","eu","Greece","eugrc","grc",7493401,2002
"Europe","eu","Romania","eurou","rou",2582,2002
"Europe","eu","Russia","eurus","rus",16482353,2002
"Africa","af","Tunisia","aftun","tun",7246,2003
"Asia","as","China","aschn","chn",35764356,2003
"Asia","as","Georgia","asgeo","geo",1016,2003
"Asia","as","Hong Kong","ashkg","hkg",61152,2003
"Asia","as","India","asind","ind",5510868,2003
"Asia","as","Japan","asjpn","jpn",292013,2003
"Asia","as","Singapore","assgp","sgp",2991830,2003
"Asia","as","Thailand","astha","tha",514,2003
"Asia","as","Turkey","astur","tur",1660,2003
"Europe","eu","Austria","euaut","aut",22026,2003
"Europe","eu","Belgium","eubel","bel",4309,2003
